,mode,variable,value
95,spectro,age_main,0.20846562208746217
96,spectro,age_main,0.4904218870107134
97,spectro,age_main,0.5278407642065083
98,spectro,age_main,0.22212578220256
99,spectro,age_main,0.3334456858514356
100,photo+spectro,age_main,0.6256263196355248
101,photo+spectro,age_main,0.39064032309760477
102,photo+spectro,age_main,0.92603469917592
103,photo+spectro,age_main,0.20493732405242265
104,photo+spectro,age_main,0.45642107777058755
105,photo+spectro,age_main,0.4770821616037774
106,photo+spectro,age_main,6.830965600043104
107,photo+spectro,age_main,7.251976750065685
108,photo+spectro,age_main,0.1307124738983075
109,photo+spectro,age_main,0.09165329556004553
110,photo+spectro,age_main,0.5258926981691747
111,photo+spectro,age_main,0.9558440788739736
112,photo+spectro,age_main,0.26035509969784837
113,photo+spectro,age_main,0.31190935681948395
114,photo+spectro,age_main,0.820735994011444
115,photo+spectro,age_main,0.143671748334732
116,photo+spectro,age_main,0.07358603247095402
117,photo+spectro,age_main,0.6970979954780687
118,photo+spectro,age_main,0.012045641495501969
119,photo+spectro,age_main,0.18032287929425547
120,photo,tau_burst,0.5524092081451221
121,photo,tau_burst,0.49600679440637885
122,photo,tau_burst,0.5626590380214689
123,photo,tau_burst,0.35206005388330913
124,photo,tau_burst,0.4305162728013217
125,photo,tau_burst,0.3266911241339435
126,photo,tau_burst,0.6439286475496417
127,photo,tau_burst,0.3937843685087525
128,photo,tau_burst,0.6335710130865655
129,photo,tau_burst,0.4039589164875626
130,photo,tau_burst,0.44103541756300335
131,photo,tau_burst,0.7086428308310744
132,photo,tau_burst,0.5507726536831568
133,photo,tau_burst,0.5416278460835372
134,photo,tau_burst,0.520834382525652
135,photo,tau_burst,0.3608996673548654
136,photo,tau_burst,0.5491637941047928
137,photo,tau_burst,0.4903029188787685
138,photo,tau_burst,0.652236502944359
139,photo,tau_burst,0.32213706063327574
140,spectro,tau_burst,0.5679243160986301
141,spectro,tau_burst,0.5479887565813358
142,spectro,tau_burst,0.5231242657603299
143,spectro,tau_burst,0.42743428992434385
144,spectro,tau_burst,0.359865050885097
145,spectro,tau_burst,0.469570576393202
146,spectro,tau_burst,0.358857195212782
147,spectro,tau_burst,0.5479155808359284
148,spectro,tau_burst,0.48287188733224357
149,spectro,tau_burst,0.6082430694747207
150,spectro,tau_burst,0.5671625101249173
151,spectro,tau_burst,0.44149383816102683
152,spectro,tau_burst,0.6097398075474363
153,spectro,tau_burst,0.48103823855702876
154,spectro,tau_burst,0.5866823242888196
155,spectro,tau_burst,0.5357609444931533
156,spectro,tau_burst,0.5307792330604175
157,spectro,tau_burst,0.5853841597294343
158,spectro,tau_burst,0.3929768990759152
159,spectro,tau_burst,0.5862712615514339
160,photo+spectro,tau_burst,0.4962687128826748
161,photo+spectro,tau_burst,0.375419650350369
162,photo+spectro,tau_burst,0.274824799369267
163,photo+spectro,tau_burst,0.4872200750331241
164,photo+spectro,tau_burst,0.42825082524163455
165,photo+spectro,tau_burst,0.5389972652524622
166,photo+spectro,tau_burst,0.5778006238668836
167,photo+spectro,tau_burst,0.9660180043377413
168,photo+spectro,tau_burst,0.345453027952023
169,photo+spectro,tau_burst,0.34890927258431437
170,photo+spectro,tau_burst,0.5567347438890199
171,photo+spectro,tau_burst,0.49429505225643716
172,photo+spectro,tau_burst,0.3835453513862586
173,photo+spectro,tau_burst,0.7383923845700737
174,photo+spectro,tau_burst,0.4149937415196573
175,photo+spectro,tau_burst,0.6065236249408207
176,photo+spectro,tau_burst,0.5740796385491375
177,photo+spectro,tau_burst,0.5030562220350798
178,photo+spectro,tau_burst,0.629914626276009
179,photo+spectro,tau_burst,0.4245221493345858
180,photo,f_burst,inf
181,photo,f_burst,0.6638981761125802
182,photo,f_burst,0.38443279590058305
183,photo,f_burst,inf
184,photo,f_burst,inf
185,photo,f_burst,inf
186,photo,f_burst,0.49977536142159606
187,photo,f_burst,0.546321115346185
188,photo,f_burst,2.93191690614066
189,photo,f_burst,5.847554420994969
190,photo,f_burst,4.222066742435359
191,photo,f_burst,0.27207483699460105
192,photo,f_burst,inf
193,photo,f_burst,3.7697634660403994
194,photo,f_burst,2.55613916516194
195,photo,f_burst,34.3005381892742
196,photo,f_burst,inf
197,photo,f_burst,3.3636388600551035
198,photo,f_burst,inf
199,photo,f_burst,inf
200,spectro,f_burst,inf
201,spectro,f_burst,1.0388258504285433
202,spectro,f_burst,0.060175734228131994
203,spectro,f_burst,inf
204,spectro,f_burst,inf
205,spectro,f_burst,inf
206,spectro,f_burst,0.16034143306930204
207,spectro,f_burst,0.1966816600290401
208,spectro,f_burst,1.06011888756504
209,spectro,f_burst,0.0061153243713999925
210,spectro,f_burst,1.8386573768085002
211,spectro,f_burst,0.6328722247875409
212,spectro,f_burst,inf
213,spectro,f_burst,13.297412272710378
214,spectro,f_burst,2.5740936518556197
215,spectro,f_burst,5.3169991852372
216,spectro,f_burst,inf
217,spectro,f_burst,0.9710204993015034
218,spectro,f_burst,inf
219,spectro,f_burst,inf
220,photo+spectro,f_burst,inf
221,photo+spectro,f_burst,0.5863593343182301
222,photo+spectro,f_burst,0.2839366146074941
223,photo+spectro,f_burst,inf
224,photo+spectro,f_burst,inf
225,photo+spectro,f_burst,inf
226,photo+spectro,f_burst,0.1211479760107316
227,photo+spectro,f_burst,0.17812676746442505
228,photo+spectro,f_burst,2.4748324984894565
229,photo+spectro,f_burst,0.29540585996390006
230,photo+spectro,f_burst,2.4425213141887196
231,photo+spectro,f_burst,0.2842529511258049
232,photo+spectro,f_burst,inf
233,photo+spectro,f_burst,1.5072016878989698
234,photo+spectro,f_burst,2.6712158688285594
235,photo+spectro,f_burst,2.6415045793292
236,photo+spectro,f_burst,inf
237,photo+spectro,f_burst,0.8450998832388867
238,photo+spectro,f_burst,inf
239,photo+spectro,f_burst,inf
240,photo,age_burst,0.11448620069017139
241,photo,age_burst,0.396065547027097
242,photo,age_burst,0.29993958340937693
243,photo,age_burst,0.3281028191398997
244,photo,age_burst,0.6055612367259176
245,photo,age_burst,0.018342195046848815
246,photo,age_burst,0.20953518139695418
247,photo,age_burst,0.24921098053132865
248,photo,age_burst,0.20098050270946174
249,photo,age_burst,0.27658706526356397
250,photo,age_burst,0.6906930349566622
251,photo,age_burst,0.43522776789916007
252,photo,age_burst,0.1932690433282346
253,photo,age_burst,0.5025084241167093
254,photo,age_burst,0.3854240178613898
255,photo,age_burst,0.11425893844454095
256,photo,age_burst,0.3612134700258571
257,photo,age_burst,0.06178108193649308
258,photo,age_burst,0.3356499715843907
259,photo,age_burst,0.3885455160111013
260,spectro,age_burst,0.3516460614012243
261,spectro,age_burst,0.44758257792791656
262,spectro,age_burst,0.6256231809752996
263,spectro,age_burst,0.30827754864054496
264,spectro,age_burst,0.564936348638387
265,spectro,age_burst,0.48095806022159027
266,spectro,age_burst,0.8123553836952121
267,spectro,age_burst,0.6217617796368381
268,spectro,age_burst,0.5780966146016024
269,spectro,age_burst,0.5282759362947038
270,spectro,age_burst,0.36631472366834034
271,spectro,age_burst,0.641324553533882
272,spectro,age_burst,0.4493864714910694
273,spectro,age_burst,0.597522988939568
274,spectro,age_burst,0.6089563736930256
275,spectro,age_burst,0.37991583826000747
276,spectro,age_burst,0.16773304081896584
277,spectro,age_burst,0.2847890319420185
278,spectro,age_burst,0.6120912728729635
279,spectro,age_burst,0.6270430646549369
280,photo+spectro,age_burst,0.07208149469256867
281,photo+spectro,age_burst,0.19830799176450142
282,photo+spectro,age_burst,0.03318019967737442
283,photo+spectro,age_burst,0.20887943295070627
284,photo+spectro,age_burst,0.4021337995841799
285,photo+spectro,age_burst,0.512482024660978
286,photo+spectro,age_burst,0.6654528447263999
287,photo+spectro,age_burst,0.7885437060225748
288,photo+spectro,age_burst,0.7063246558965136
289,photo+spectro,age_burst,0.5772897746530629
290,photo+spectro,age_burst,0.5422256099103819
291,photo+spectro,age_burst,0.5623834199581051
292,photo+spectro,age_burst,0.5926832009272807
293,photo+spectro,age_burst,0.15691828781211
294,photo+spectro,age_burst,0.5406577815239874
295,photo+spectro,age_burst,0.04808386471544253
296,photo+spectro,age_burst,0.6581258459130055
297,photo+spectro,age_burst,0.2992788427055584
298,photo+spectro,age_burst,0.5502234846677732
299,photo+spectro,age_burst,0.5802807226427009
300,photo,E_BV_lines,0.23415083923172172
301,photo,E_BV_lines,0.08426923853125419
302,photo,E_BV_lines,0.08284644518393336
303,photo,E_BV_lines,inf
304,photo,E_BV_lines,0.467035479543431
305,photo,E_BV_lines,0.22012000873393298
306,photo,E_BV_lines,0.6446188761078757
307,photo,E_BV_lines,0.09644472318318975
308,photo,E_BV_lines,0.7504147158222387
309,photo,E_BV_lines,0.5033338558143363
310,photo,E_BV_lines,0.08492856683912439
311,photo,E_BV_lines,0.30390659849791163
312,photo,E_BV_lines,0.4474721904418977
313,photo,E_BV_lines,0.3423734458488507
314,photo,E_BV_lines,0.18484127520939903
315,photo,E_BV_lines,0.3306814980351763
316,photo,E_BV_lines,0.6480139871765184
317,photo,E_BV_lines,0.8446425379998218
318,photo,E_BV_lines,0.39418878017049336
319,photo,E_BV_lines,0.29628630251254895
320,spectro,E_BV_lines,0.36175548208589464
321,spectro,E_BV_lines,0.05097531596338472
322,spectro,E_BV_lines,0.19781160908283266
323,spectro,E_BV_lines,inf
324,spectro,E_BV_lines,0.7499095654395407
325,spectro,E_BV_lines,0.2668398532043593
326,spectro,E_BV_lines,0.131193500672074
327,spectro,E_BV_lines,0.07990033656582718
328,spectro,E_BV_lines,0.182249316331883
329,spectro,E_BV_lines,0.15802649046763467
330,spectro,E_BV_lines,0.30528179726128835
331,spectro,E_BV_lines,0.16380841843173288
332,spectro,E_BV_lines,0.1143647591885486
333,spectro,E_BV_lines,1.3577082693821638
334,spectro,E_BV_lines,0.1946353943425543
335,spectro,E_BV_lines,0.17544052504504842
336,spectro,E_BV_lines,0.056120554720549554
337,spectro,E_BV_lines,0.0787554102768547
338,spectro,E_BV_lines,0.3101883809780943
339,spectro,E_BV_lines,0.4736699557716947
340,photo+spectro,E_BV_lines,0.0718694271997363
341,photo+spectro,E_BV_lines,0.038272091828138226
342,photo+spectro,E_BV_lines,0.09207533482286534
343,photo+spectro,E_BV_lines,inf
344,photo+spectro,E_BV_lines,0.14922168865628102
345,photo+spectro,E_BV_lines,0.27068821754938865
346,photo+spectro,E_BV_lines,0.06219047281600369
347,photo+spectro,E_BV_lines,0.3929392780129498
348,photo+spectro,E_BV_lines,0.03549266522658838
349,photo+spectro,E_BV_lines,0.008220392797127682
350,photo+spectro,E_BV_lines,0.31044185600108964
351,photo+spectro,E_BV_lines,0.21859979826096998
352,photo+spectro,E_BV_lines,0.012397139413447
353,photo+spectro,E_BV_lines,0.30749826316924006
354,photo+spectro,E_BV_lines,0.20381698840752732
355,photo+spectro,E_BV_lines,0.1220682020860403
356,photo+spectro,E_BV_lines,0.11036703092167996
357,photo+spectro,E_BV_lines,0.10892382206678339
358,photo+spectro,E_BV_lines,0.11328890751895859
359,photo+spectro,E_BV_lines,0.04825780547555558
360,photo,metallicity,0.0
361,photo,metallicity,0.98
362,photo,metallicity,0.0
363,photo,metallicity,0.6
