tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2990.547631637949,3132.0564739038555,9055.670538592964,0.19173152823654646,28.407855367486434,1.064509754384011,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.643234963731827e-12,0.0
2760.400787300117,9919.423054351959,6255.935795473893,0.19098260377355816,38.58943616491443,1.7289568933604835,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.9479762653478056e-31,0.0
1678.7480269826556,1314.4528693499396,1481.6916553197298,0.18493338652885186,92.19294550168176,0.044008010025682776,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.163939447829396e-97,0.0
1519.6062082212752,6057.456630259689,248.21293288846573,0.1985440250537642,59.99736541548634,0.2021745262265191,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.293435939719645e-94,0.0
2986.5656443190555,9983.408308678454,6945.185316335662,0.169000251252522,31.275969672417464,0.07923046700580616,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.04191452128923e-101,0.0
2664.309513677337,9481.95178430863,2669.381830493512,0.19999971351178594,22.196276838035665,0.5653461306685867,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.6597489992582253e-78,0.0
2513.652653831692,2885.0436663379323,174.7556805741151,0.04622454260138026,98.76663331794354,1.965135458117025,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.65797094774769e-53,0.0
1787.2048885637423,7220.38409376661,9815.13021732732,0.124189124300097,99.78672729191126,0.568410764218527,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.26014414992182e-59,0.0
2833.8480102835942,6158.567548006663,3924.9066117353796,0.062249319772913786,96.8552591071054,1.561492780362017,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.47100475388607e-32,0.0
2665.3949628051178,1591.0565338898523,1298.6799992718861,0.0076900582002468465,99.8277218599072,0.6188231476346,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.0225351570978568e-33,0.0
2178.2906928383686,9621.651553796533,3321.777363712732,0.16029991680863037,69.45755129114299,0.957078821229558,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.651822334459615e-17,0.0
2332.448782360641,9186.164307186731,2165.6609138233734,0.09416065336222564,49.49611371704485,1.808205129921744,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.3097953481210262e-38,0.0
2982.102468083029,2579.053873569089,7634.8895899303325,0.17641888054516153,92.65396606190374,0.0722417853506434,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.524794337466967e-96,0.0
2655.0457880849845,2965.2371537624886,5540.745579194024,0.09374491578256793,17.21021714510466,1.7526902039993995,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.1756101176845279e-31,0.0
2802.873873267086,9279.780424047818,6154.436058575722,0.18791542016839763,44.83870058466852,0.03701654423606415,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,7.64182511441107e-101,0.0
2763.807805138907,9353.897891875515,3387.5425400140475,0.146224838558643,36.16977122108344,0.019757187320552205,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.0140769311723868e-101,0.0
2202.3886954333893,1004.7778748409437,114.75824157956959,0.1270897911638931,85.86892666347491,1.3111969014445717,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.677472202021633e-11,0.0
2627.078544815061,9722.188370838338,8699.944156866184,0.06582139516569463,94.14780383022465,0.33262034193170376,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.601396275499704e-79,0.0
1700.2199686900628,8598.654249286688,983.799186502587,0.08001181315255812,23.46910006860614,1.428954202318825,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.375732546601494e-08,0.0
2543.3325228609283,1075.598435472688,9641.603198886462,0.002988175105851726,23.57754259854314,1.0507963872707522,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.0002806329985121448,0.0
2970.483919025494,1510.99114996786,105.09306404453673,0.19958879580083722,61.36347540585188,0.8257877977165109,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.530936724148299e-29,0.0
