sfh.sfr,stellar.m_star
1.285378239177728e-16,4.1937150242018894e-08
3.2967658932548577e-14,2.6377089859386557e-06
2.1643043886493527e-15,1.517552937044274e-05
1.4838943391245481e-15,1.3674883971163243e-07
1.1138841051957668e-14,5.012924810069572e-06
1.7194674058787646e-16,2.4138677897311147e-08
1.6420317839232616e-14,3.949100630075212e-06
4.276021740290368e-16,1.937244993686224e-07
4.0720630491121556e-15,1.095579894830536e-06
5.065872192979786e-16,1.746570477943841e-07
1.3341815628778808e-16,1.9897338898281684e-08
1.6553566735656564e-14,7.4779833556187755e-06
8.112684428051562e-15,3.28277169375812e-07
1.3027265396018842e-15,2.022487419949626e-07
9.325833559548191e-16,4.4551761944914454e-08
1.8028719399444336e-14,4.263281266462753e-06
1.4896587289261202e-15,2.6889168712993967e-07
3.1382885106942483e-15,3.331327886892085e-07
2.3264520474562066e-15,1.1593905533493422e-06
2.3746591017618455e-15,6.358718628949223e-07
1.290346619967927e-15,7.102341639537289e-08
1.2084048328115622e-14,2.395405307764568e-06
2.685936571359041e-16,1.0075802093594694e-07
4.4205884982339666e-16,2.2616916888879058e-08
1.7416957653851198e-16,4.9320914871129785e-08
1.1552692914724355e-14,2.9987817278745995e-06
1.0947305933097707e-15,1.9816551921550083e-07
3.8746634774578286e-15,5.62294134379914e-07
3.8779535700411884e-16,1.0234045494342155e-07
1.150871933947627e-15,5.479843445736361e-08
1.8847803710782137e-15,5.502883258572995e-07
7.140755208423404e-15,2.172956747900818e-06
5.961955831317864e-16,1.847667693334598e-07
4.166940220840969e-15,1.8497244004191933e-06
2.726831781322908e-15,8.018715040546708e-07
3.592533619406912e-15,3.741828425848104e-07
1.0542949322391799e-14,1.1058135172184403e-06
3.10625075066427e-16,1.2046790318367495e-07
1.475160010858411e-16,6.290441490054933e-07
7.324939238285949e-16,1.3903846113947947e-07
3.489314368634945e-16,9.700981470165633e-08
6.709038013363412e-15,2.0878468887235885e-06
1.1691350528906394e-14,5.254364447177969e-06
3.8553930713721483e-16,7.263980459523997e-08
1.7337103704092161e-16,2.717415307824169e-08
1.0288230509502927e-14,2.2063764812162986e-06
9.70088717160048e-16,3.108470823618444e-07
8.506905044436495e-15,1.3405409778809307e-05
2.2140331404586943e-14,6.365746190894922e-06
3.623227025983076e-14,2.1803019926513685e-06
3.9047642868441895e-15,6.66366795712957e-06
1.9850228966636048e-16,2.194053288985733e-08
8.300259467366264e-15,2.30421572211477e-06
1.5023719483623031e-15,2.2272329481061795e-06
5.542361095009819e-15,1.559031541591691e-06
1.6558656888678813e-15,1.188992155337873e-06
1.3155236968045141e-14,2.4825145879968723e-06
1.4958765020845537e-16,4.7399311605399815e-08
2.633739799711163e-16,2.9002689830492864e-08
1.844320028063603e-14,1.4433249517792859e-05
4.1626722920875754e-16,1.3071090710471142e-07
6.1376973031002936e-15,3.297370518056726e-07
2.0680967400021762e-14,1.1562940489711943e-05
3.0064775003093057e-16,2.0737238736546932e-07
1.5945248588859786e-14,3.678194546799144e-06
4.816176501350564e-15,1.4016752000520884e-06
8.088788152130737e-16,1.841604194923693e-07
1.8018750986729858e-15,5.57594880654308e-07
8.734460177654853e-17,1.6985979961953382e-08
1.0664537550323012e-15,2.5132713177501e-07
1.7676755242261898e-14,3.296556216721123e-06
7.39806004099716e-15,1.99872034975464e-06
1.0744153157077676e-15,8.099028160182364e-07
1.4682778530501867e-14,4.190274039525693e-06
1.5909180506952539e-15,5.023979369584294e-07
