tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2912.3887400762624,1130.4992463241524,9312.582484934333,0.19965165877149188,10.215838970461672,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.1119606358538167e-41,0.0
1516.0462180786074,1422.5992862034454,1479.4673725913472,0.11794003112636577,84.56909781586783,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.574794927637098e-19,0.0
2999.5199728477455,8448.595862086433,8788.865648104955,0.07636722457779273,10.232876685960619,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.2564930069382505e-42,0.0
2997.309063977894,1227.3983650821992,573.9996309512699,0.1993403620393651,99.84060179291465,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.0436489896395686e-25,0.0
2148.144155911256,1706.5843506884103,144.95958512114157,0.03142453488178526,99.340503358371,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.7102270479639705e-11,0.0
2389.8795275372254,6718.42598419786,9990.703492081833,0.014772476512054905,23.535294745771324,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.242400659569973e-15,0.0
2555.269387640821,1000.5677644118423,9568.38430570302,0.00526210190071541,94.57704952782495,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.0334114114402807e-17,0.0
1920.345626525921,1046.0768609941533,8437.44056006508,0.1610850061841309,32.869417001781514,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.617276306104624e-28,0.0
2969.8960527879867,1210.9436948154216,2825.8713787409924,0.04199031021006239,94.7176642482251,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.4951942279358535e-16,0.0
2923.8917588524105,9433.052980356935,1830.0529522302013,0.19420518011993906,78.30085690530753,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.7912154025093602e-27,0.0
1710.052072763953,1000.159799076253,1552.2009703750282,0.07196862853664956,99.69779801503788,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.5233627188323385e-20,0.0
2787.2259570169053,4953.6106074924455,1334.6251024858648,0.12905536027618245,10.043605192430347,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.37057019024676e-41,0.0
1903.0854815714408,1133.5885912980611,1005.9354453173273,0.18722201919662418,89.61731618430615,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.508404367478477e-22,0.0
2793.1099673094823,1013.6914262334376,236.67261083828453,0.04529476092593945,40.97663759213656,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.432326580759995e-21,0.0
1769.4511723056733,9592.795115357903,2500.494733248275,0.19832971883690947,73.79408079326467,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.009165730079696e-29,0.0
1641.9718960105668,7982.190387184551,129.54542703277184,0.014171620037401161,53.31834237883324,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.9143388727156124e-06,0.0
