tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,zgas,ne,f_esc,f_dust,lines_width,emission,redshift,filters
1855.202298502679,4061.2226558710963,7614.295394079871,0.0025543508877319543,98.67937298442851,1.8663096372060701,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2999.7422980256188,1336.3771807401681,9782.951219685063,5.4919610661147145e-05,99.99977505446904,0.0001052458890975494,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2546.8340940760972,3574.8208671198036,7731.260431076206,0.026809112815875752,86.23775755217804,0.004361012792928998,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2630.4579252595972,2443.8910031683836,6688.608418530459,0.07508548001469291,69.83539804836025,1.956852446757129,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2999.035071468275,1195.3543584214822,3160.8762507542915,0.09223478612007677,84.07102790534545,0.12311032132300137,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2948.28483487741,7578.616366659613,3011.5980043763975,0.179890785845806,63.94329075838225,1.9554778812491205,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1776.6025339063578,1544.14909469321,2666.487804565022,0.0034156789928656284,12.435509735380364,0.007001767282202476,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2999.9650896942294,9379.788257239376,8124.612894343186,0.06445574312852995,57.232530843707806,1.2489122877276495,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2568.5660010148767,7459.260050511941,8062.210709847019,0.19566439200019628,99.52614572784616,1.838895557683875,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2992.4622958273626,1047.4678583726381,9261.200509733588,6.505772046083713e-08,58.740925816695054,0.2076818941145291,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2986.678843280427,1232.8116631347038,7887.69857933292,0.053034965289637775,10.022957100215052,0.4392625707439697,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1701.2960038610122,7177.323559513388,4492.499847999879,4.953436570015457e-05,98.16050991498183,4.5215697906275665e-05,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2049.2464987181575,6360.0315783600145,1062.415874213646,0.0035670921783589327,50.7667893824002,1.924905919183159,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2975.9315105206488,4426.31856353385,4760.728879518091,0.013591404273490426,76.82418183128888,1.8302677259550877,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2383.696864935424,1330.6020529545167,1294.292092918371,0.002213098305952732,38.22741775762273,0.08271549173823134,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2763.9585603771648,9856.038114883328,1802.6504572850645,0.04378252858499973,71.86436531942194,1.7964753729510725,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
