tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
1500.5841995998999,1000.1388786231419,106.21813898877917,0.018949708792671188,10.435077823040283,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.956029440394638e-88,0.0
1809.9138959564962,3453.2862059893087,9677.136296841227,0.17389205257843615,29.549534086285416,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.822971175496798e-86,0.0
2779.1574518638863,3525.383934175715,2780.79935551364,0.07454914189509063,75.01686006647417,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.9882127824928892e-80,0.0
1500.0720423003995,6587.25552201129,7828.343740278891,0.03667564648088434,48.59241358054736,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.0686463706160844e-83,0.0
1681.8749630649854,1002.2641022516345,101.5672369472104,0.13459668028952668,42.461608560535616,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.965634826755061e-87,0.0
2808.4537746500355,1136.1804143207373,687.8049015237702,0.19999881505666317,99.14831768372697,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.940295736569462e-87,0.0
1526.7285502144202,1129.5103933559294,5771.2111414732935,0.07220839248834876,77.04839477431878,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.302036502479701e-81,0.0
2940.7843375638104,1716.4934202780369,925.0399651223124,0.022580342946547177,10.039366507115863,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.351060744572482e-85,0.0
1700.430010729604,1006.7733454306726,127.85060928798703,0.03615022829098258,96.24404301601108,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,9.137227780344911e-82,0.0
1598.1732183094848,9916.492354942207,5448.99384709784,0.1252554208150827,10.805451911284237,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.557799892521673e-90,0.0
2392.126475602887,1078.845751882678,932.4336429786563,0.03933982911457326,99.5451069946771,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.1269105212806353e-81,0.0
2968.5030433563807,1004.6063094093406,3191.6216808343916,0.1965829226541272,18.352640477687807,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.614765205730549e-89,0.0
2584.7819973189953,1531.283152930342,100.06795828896065,0.18904552203296562,93.10358801908167,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.8853631618135673e-84,0.0
2966.823120344905,9991.262801901183,550.5172465962933,0.021673129220888127,97.83989977654257,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.74858682749719e-77,0.0
2983.369787906661,1124.0724797972962,9995.147231760897,0.0038689204650164954,81.01447464561475,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.4750011430127915e-81,0.0
2190.943829569507,2438.85116232778,8296.02593682953,0.00308522494284702,25.603851673381676,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.316248775433022e-72,0.0
2372.8980864999794,1227.841268865226,722.4409174529465,0.022900236542107322,98.28646941500601,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.5875795354707087e-79,0.0
2999.825068032497,8961.875321609192,5522.894375259302,0.03934090307339061,26.468087899360928,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.3562361630557287e-87,0.0
1500.5082214347638,9548.241937382352,8232.491256332756,0.1277247927181612,10.758965147371645,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.529045234923454e-90,0.0
2886.276198644307,1344.5999618692804,118.00260678007362,0.0010396051841043974,10.017129141843636,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,7.429366960224676e-81,0.0
2122.827675456049,6145.504562152382,387.8360410534606,0.02731941512854469,98.9338857610624,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.347254794777052e-73,0.0
2652.600547664834,8943.5766075276,1599.6003886982853,0.12535130243309722,75.62192198736253,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.13843143936014e-84,0.0
1912.8966366468835,6206.860066458774,9991.621357906097,0.011841200523666051,12.593618778331718,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.53534032356325e-84,0.0
2923.2366846253435,1559.127314979196,5968.883195802842,0.19965719369340842,21.057912945496863,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.3649863793695127e-88,0.0
2993.4516063269,2481.558981730467,257.95648122692,0.1956878146260341,19.679427898130275,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.4435202116669664e-89,0.0
2701.108075458755,3309.8414034051675,3737.3006693672232,0.14243203923865733,49.61375105975594,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,7.593698492683569e-84,0.0
2093.4789311784207,1000.6760342542184,4387.48527699277,0.041490060822765434,99.8280406712839,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.578026402472721e-83,0.0
2020.0106227738088,9843.769778901482,488.73731868664436,0.19731465091216074,18.928785504916707,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.963688413203113e-89,0.0
1591.6772611279487,1009.7062114583387,8607.163957452967,0.15063648831133294,99.49073233167574,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.289377341100828e-84,0.0
1638.948519349759,9995.34887897317,9416.526282130866,0.1027787632101683,99.21546384044862,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.262384983401309e-86,0.0
2994.043568954198,2635.874768332096,3474.849065454242,0.19222428917175866,84.7079903808179,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.5056951502215965e-84,0.0
2999.901447484127,7482.636573640151,1021.6296641700465,0.0780615164117285,99.99999998217751,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.319202327266135e-89,0.0
2999.9999338985035,1014.7875515925043,316.35224069165633,0.18857194200752775,97.11684948744201,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.1379219631322436e-89,0.0
2727.4709264340318,1033.7301855302449,9120.092760823787,0.06840953042908701,20.485791553911383,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.160416628482952e-85,0.0
2999.9503014775814,1004.750317798269,7422.959813316464,0.039011372938709904,98.92454167811864,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.7435145133441718e-84,0.0
2955.246170101166,6368.610109472854,5802.982612980757,0.1435319371284797,75.43889161614602,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.02345359692375e-84,0.0
