tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters,weights,MAP
1739.518910888746,1710.465599680134,373.8556371994018,0.04352665688724086,55.6207235474718,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0012570493438274393,0.0
2425.734676001767,2101.333548275792,9914.563234656709,0.06034912663068845,56.3900268478765,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0004037287629230213,0.0
1517.9484770950148,9969.70401551486,604.4341184535551,0.07235595954861293,19.875659140339636,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0005907850889092102,0.0
1504.671926964366,3140.558861549195,1112.6401801494758,0.19740289186355087,20.67117742607762,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0002414208324738777,0.0
2246.6742585941392,4729.862181323207,9738.398500358917,0.00039665075788331006,78.08789142030318,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.000335930337018662,0.0
2284.4779832726936,9733.964971227342,9537.16439526454,0.19904983445561164,10.012123075768741,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.6018121603936383e-11,0.0
2985.2762653832992,6585.460203295547,4506.333577862422,0.18362745562097815,73.68087150803913,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0016589846985009533,0.0
2423.743570222934,9347.600929152297,171.69454361980752,0.000982673123162775,10.07998549083375,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.591289517009198e-05,0.0
2997.064346761129,9974.52090675831,9707.658147205104,0.041362096285516514,52.98418016991685,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.156521217629384e-05,0.0
1500.0031502569489,3096.2780977373986,136.27347526747144,0.007753382960183519,80.15497553937328,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.890753458355011e-06,0.0
2763.8394053170578,1003.4835495434472,9836.097882198392,0.1305179841556246,11.359620883998488,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.111552861764434e-07,0.0
1651.7373676250727,5501.655657668394,4767.873847383584,0.19783181035229014,76.31175371671874,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.724173027936158e-07,0.0
1500.7956818036646,2343.6701504336834,5960.786003420677,0.03393391393527828,49.12201913745875,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00035371243101777107,0.0
2888.330350472513,6639.667472402212,9478.396718268976,0.0008115626447485202,11.832028700521633,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.000286896605826152,0.0
1595.7877559227932,6378.577591025494,2408.938309214528,0.167060487306632,93.86225620386928,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.001235645206649892,0.0
1533.2589834528371,1176.015922799692,735.8785132410321,0.10542623267071018,74.55803270575215,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0010137525854773013,0.0
1728.4766574434732,8570.383678325506,7341.32387172927,0.19262472391434068,61.16007276026161,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0010301823852299386,0.0
2704.102216840913,1230.3899840175836,8238.111764862562,0.11094046354519682,11.990173329209256,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0001026948937681054,0.0
1508.0532265696054,1796.493112417913,9932.33796629249,0.1392020418424258,11.261594994146805,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,6.124814726032443e-05,0.0
2842.6204350376283,1012.6266413748253,109.75602073551272,0.04495350102936263,10.402672842276203,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.9962312352672744e-09,0.0
1508.2170837803144,2917.733008225584,192.06421416194644,0.19653109876975672,11.20010384406477,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.0607409239984968e-06,0.0
1692.8392045778571,1000.002520052336,4408.687569526277,0.0036215538455025564,10.412383541204434,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1476121083809257e-07,0.0
2094.2529563099383,9936.374800770147,4500.3577765811215,0.12423969146132392,10.403915153114369,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0002728572370189899,0.0
1763.3062370619507,3051.058738525473,218.35913779554903,0.022014655910602587,10.374730770794784,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00012301587096127896,0.0
2770.855051239363,1080.4549963359477,110.020829212237,6.399101027398935e-07,13.09941521310563,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.338947172399491e-11,0.0
1514.5315170790345,1621.3139921399288,367.0079464409664,0.007574922733475653,97.06274628384494,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00010175387254359277,0.0
1753.1417283373348,1948.1131997194734,5904.105169693865,0.1994464002713302,49.400799488165724,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00047228886259184584,0.0
1739.0662517148053,4371.171549120394,1019.1042962230986,0.19159703012450632,19.93620810295411,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00094256877539511,0.0
1722.7972337014053,9396.20116604803,9387.142234742894,0.020366569864196826,20.545600685570818,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.1053414604146744e-10,0.0
2858.489565602913,5611.0677715424545,589.3587228885372,0.19123928840723486,10.012553129327742,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.3832398715400885e-06,0.0
1616.6691425039364,1151.5596290134545,1381.4827941448202,0.034724192430992284,10.000169103944117,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.130270532435353e-07,0.0
2434.1125039532044,5443.358038345241,100.03713612296087,0.0032554288718087687,32.86099959860526,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.873336221879092e-05,0.0
2727.6443494538753,5617.268669848889,100.06618035060637,0.09670959641997955,10.240737680185177,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.323539231838231e-06,0.0
1789.7563743866929,1960.2388791630465,410.55437983496086,0.1253002847441575,37.21973021669131,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00022867475232401206,0.0
1501.0685739881,4398.2771758260815,503.25607967771066,0.008016272085692833,12.303698469708024,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.666199361657952e-05,0.0
1557.7076899918648,9853.426162281503,1168.454636752098,0.0034425157485589997,10.00005059235707,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.702070006587186e-07,0.0
1510.1185562197074,2150.4450758282246,417.2704039867622,0.025137708009625698,99.53888263440396,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0003822747174749701,0.0
2908.9699919167606,2572.042113170226,2504.435869282941,0.155544748259866,14.615910911537753,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.268304467073466e-15,0.0
1639.534879473758,9780.31739050304,9397.301474348043,0.15953901518775807,12.38535422906925,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,8.458902651174994e-20,0.0
2194.1392006539904,6389.886531935137,104.66238584717576,0.029824933048292868,33.02144313689476,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0003068222551003953,0.0
1500.2595945651808,2749.1935861100574,163.9217009255226,0.1925120351655379,93.52242260204805,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.0505695362467206e-06,0.0
2742.0713376754807,1477.8798380719381,2781.699233622592,0.1318956695920369,17.719525409003168,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.002640470573652502,0.0
1856.7736856211159,1021.8908074020292,5562.024952199536,0.19900859107426294,10.006695353312466,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.3831578672671106e-20,0.0
2460.9320134857885,1024.9944998599822,724.1437789209231,0.0015101904735821403,59.2407744894306,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,8.529448448501989e-05,0.0
1537.6476252306381,4784.33322927054,6318.515959123191,0.0005165601631082761,66.7214423769562,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0005788701932396865,0.0
2732.0012181356665,9047.794105704208,4827.113135857656,0.08733361634818515,32.41709734128918,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0023165949600330677,0.0
1696.2106039714113,9818.35641608269,2302.6822636595034,0.19902158741666118,47.95791229742645,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.320541636024101e-06,0.0
2227.5865214583328,3372.1435201913255,823.1577773067238,0.19785911977403461,48.47287019406404,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0013818877130766668,0.0
1500.0078394453271,3616.889801060297,3163.455495887979,0.1999434407220519,19.51473017893153,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.590066484397886e-07,0.0
2983.9408627185408,9998.627392432125,649.8836347491997,0.05240613984538328,97.01226951857984,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1940429166251979e-05,0.0
2964.592988858159,7730.800440201246,100.13484251552109,0.07123536882152925,12.258655586076955,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,6.373133915074547e-10,0.0
1507.4435492898224,1003.9806328353334,1482.9755738144795,0.049887496435605916,24.522607244938357,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.9216222553673825e-05,0.0
2997.7745916271388,2057.992284756264,5500.691248973523,0.19999997820638363,68.64512808709392,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,9.364873447312872e-08,0.0
2486.8472202069674,1103.675064625464,2957.4167945862264,0.18413675864167195,91.75342859798329,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00025323666955360066,0.0
2221.0599157896886,2575.8322734858257,466.2225868542955,0.019544641410526198,94.24372492373828,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00018324119566552816,0.0
1786.3473253540087,4146.02307992764,3600.792547434974,0.08198522068760988,10.004118761349687,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.948100341904681e-06,0.0
2291.474316768909,2749.69655724538,8187.910350403099,0.19582106417966108,86.7079578307277,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0005879811476473447,0.0
2984.784655624758,7162.919567365248,100.51311454665483,0.18669285721206136,42.098752042144625,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1226901441569866e-05,0.0
2966.652599274825,4443.299080512628,8562.425017793172,0.15248213063931892,42.73826426229812,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.004219202716692068,0.0
2107.312009862555,1041.5226948210438,100.43823127985343,0.00031131327540706577,21.319491792445262,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.082967766394808e-07,0.0
1840.5605809224933,2781.092789930808,250.93463822447484,0.18094135127765953,81.00465850645355,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.131078868926593e-05,0.0
2998.1219241735757,1115.5424940688172,1202.2713247325682,0.187590633130611,10.008270353278775,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.904770155999222e-07,0.0
2635.250220436185,1004.3594918059935,7537.831136108318,0.08421056490861928,13.831469929452822,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,9.9659404711023e-05,0.0
