tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2996.5227963892194,1025.6990938071704,2827.081599587441,0.054513112145643916,52.66223443815011,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.2542119795024676e-37,0.0
2726.810644169964,1046.432467250219,5946.331115445635,0.1317339767820938,84.0709361961426,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,9.94453294054761e-43,0.0
2934.7446036154697,4086.9054112371196,1554.7417342638873,0.18398415086064254,11.532960644614482,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.2228562157056835e-44,0.0
2990.902413397829,3420.084250215543,5431.526513286511,0.005349326376787145,41.33800621138303,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.9450593425823667e-19,0.0
1805.5931290877543,9539.12261113846,1384.8257566894754,0.03342624169583752,48.897525671250435,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.737315574932343e-32,0.0
1781.4565293362227,5342.608492233722,109.38871104764439,6.580478716719518e-05,78.89134503185504,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.622702128562486e-05,0.0
2937.3394459259803,1002.4565941833171,103.32604248577991,0.18613779465100644,81.98557682682268,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.2873160245410366e-52,0.0
2889.0555166660934,9258.02940218529,8246.1780357983,0.19793621325098268,94.4850459208908,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.184990664596722e-56,0.0
2768.814659393607,1803.0995094386562,103.99395373592597,0.1978806624406979,13.887915631597624,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.7768801526802647e-46,0.0
2862.230421225243,2768.608330648135,430.1526729017496,0.19882622946839582,30.87645664072666,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.913407258956972e-49,0.0
