sfh.sfr,stellar.m_star
1.0926712341056595e-14,6.783052854070609e-06
6.596156466393399e-15,1.0393777530282378e-06
9.310074364494433e-15,3.745500399111922e-06
1.1431584380171202e-14,1.3904194088936464e-05
6.375447532183088e-17,3.109790019943678e-09
2.8177136021660996e-16,3.36543426808844e-07
1.9437846798321197e-14,2.739775796561393e-06
3.3594555518932857e-16,1.5006593479288874e-07
7.265108551374433e-16,7.058520295532308e-08
7.229079473800769e-16,5.078809012549117e-08
1.3004384460159745e-15,1.132624499502003e-07
9.339215405483178e-15,2.0628498372953305e-05
2.992560669710441e-14,7.155124461856315e-06
8.823573962354702e-16,3.751731538047816e-07
1.4895314416331752e-16,3.250061729706907e-07
6.609183309744202e-15,1.7902738970717184e-05
7.107939969589489e-15,1.8358136975665036e-05
2.176325098550722e-15,3.1497147833741106e-07
6.406271909648958e-16,4.050464365050433e-08
2.3451363474036762e-14,5.229555194033685e-06
1.799491670425574e-15,6.951679160778268e-07
1.3077009687422688e-16,5.845611197870901e-07
3.88992538051068e-15,4.1625933554381866e-05
2.4544708414124154e-14,6.031920092360722e-06
3.2276493386694305e-16,9.753946856883482e-08
2.5469860874992728e-14,3.0376325124812487e-06
4.921283508748476e-16,1.1852840075862605e-07
2.7730162500284724e-16,1.7316330386278264e-06
1.0296237259417579e-14,3.303453664346588e-06
3.9163459120094466e-16,3.5295586065434e-08
6.349997560816753e-16,2.61122245882252e-07
1.6016684761477679e-15,2.214687455802042e-06
2.116366271294765e-15,7.026265587403884e-05
2.572981225090204e-16,4.4826672878367924e-07
1.2007772453917146e-16,3.044850166069712e-08
1.4958481447948388e-14,3.077184149442376e-06
2.9267169876566426e-15,1.0760655629031806e-06
7.304224117116258e-15,9.856301872144596e-06
7.428235381602584e-15,3.3705679889064505e-05
6.349677841366021e-16,1.642458610195045e-07
9.979437288728493e-17,1.7053313036979034e-08
8.445098468360951e-16,2.3888368629510894e-07
2.5090850770697325e-14,2.601679741483812e-06
1.031129358474117e-15,1.501837855109994e-06
3.719916597595651e-16,1.2885695127923789e-08
4.651574302162538e-15,4.574786860096382e-05
2.3380622624124806e-15,1.60020760844295e-06
1.1815449278612176e-15,4.166695947609991e-07
7.268036342205565e-15,1.4364346374288107e-06
4.798568876589429e-14,1.8335236124666048e-06
4.0143945406965395e-16,4.2296764788335597e-07
2.738431623456252e-15,6.995473849076812e-07
2.7132798362145723e-15,6.417544172695815e-07
