tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,deep_nebular.logU,deep_nebular.log_O_H,deep_nebular.Age,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,deep_nebular.f_esc,deep_nebular.f_dust,deep_nebular.geometrical_factor,deep_nebular.HbFrac,deep_nebular.log_N_O,deep_nebular.lines_width,deep_nebular.emission,redshift,filters,zgas,ne,beta_calz94,D4000,IRX,EW_lines,luminosity_filters,colours_filters
2785.0015639332973,1018.1812750525569,7959.860231363711,0.19945913260293002,72.6346484927879,0.9124904919162984,-0.7673510288409218,-2.0010323807752273,2.7775990033375337,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2554.70366137791,1307.1582118664483,3953.572792176643,0.18404614112397427,79.90073651361129,1.275705754432471,0.6211486779755169,-2.0708988898899756,5.88256290317503,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2590.5355305306152,4428.86539385356,8784.341176012134,0.04791199846642527,22.450936883899885,0.2587872543704528,-0.3543603904604766,-2.0003036019427203,1.1214286464558674,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2979.283690744633,5674.71256669241,1832.5551976777706,0.16020769705434243,87.35608370679152,0.08918182364411087,-0.21859934031276707,-2.011358536924056,5.948433731284453,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2947.7644553131704,1187.6560381841646,3521.7975393395163,0.07020096612268004,12.507238677498279,0.03721610387656993,0.7624995137568116,-2.005196360154266,1.3570801215590365,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2999.2901990206788,1008.8222423613588,217.19333579201157,0.1443816801043879,62.06464517672264,0.8321831479456765,0.06587101473232737,-2.006814062887538,5.915367004766389,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
1500.2387248067632,1117.147335183703,7449.942373467822,0.16249792578223277,61.36945527436161,0.18211439279178787,0.8756425538121144,-2.0031408017278913,3.837967602255177,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2883.451513937893,2149.050498533994,660.9597180883175,0.17896438277964674,16.070035707544633,0.66276754417733,-0.7680262296224498,-2.001325346373512,5.544814570280417,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2894.0933093321078,1878.6975122251088,7042.772359336976,0.19959221350661294,31.302870888759387,0.6052346924692937,-0.4058124528358118,-2.345294985717876,2.095875325796647,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2773.34581711179,4206.657685076491,3355.991570276192,0.10816558323568591,87.76927631526962,0.27863533750997505,0.5415672686676323,-2.00297255358893,3.1005201947653114,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
