tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters,weights,MAP
2097.1638419482156,4259.139503671116,3562.425057647657,0.0876664867615422,10.00763274032606,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.65804799635576e-05,0.0
1528.9149092458701,1058.7278064353704,804.4524505092832,0.06323074407193865,20.14645453292441,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.000373185727472401,0.0
1741.9563389659295,1306.825600815855,8490.534944821151,0.010775300336049037,29.29253810538809,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,7.936718662354863e-09,0.0
2991.493630186557,3550.488034027121,9456.756253583333,0.14337388958953967,46.94362637498531,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0006574810459097598,0.0
2966.8664402567406,4332.04838116473,2250.26145180814,0.009673301055124706,65.05877746072886,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,4.563669135122265e-12,0.0
1712.3240018947736,4580.103949076014,5292.212602615982,0.19889289515215608,44.08880942058588,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0009535572505180827,0.0
1544.318494862312,8951.932465807678,3936.0713459396093,0.08173234256167379,10.714902184036617,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0006800815940819245,0.0
1886.7071319937247,2601.2937380975427,2658.729760780084,0.13826588566884693,93.54325280936293,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.1246448375989214e-15,0.0
2187.7458239932585,2209.9485099687463,1985.3581130508019,0.0003549199740453257,11.454916282747035,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.599205549854459e-05,0.0
1504.5150129908154,9991.163502874677,103.35286760551753,0.041495339128672454,20.177298086270937,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.9748363647260073e-06,0.0
1523.6696942766189,3900.7681438292875,8843.128652460517,0.0004235607425842336,81.66948025099896,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0007781345460500702,0.0
2799.5350229614755,5433.536896913922,5071.634295765888,0.07190938090546453,43.29763954881363,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0001713292824135367,0.0
1502.5317874360048,2001.2571681736354,7966.992304758975,0.16291452603774148,61.0865023965824,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.1227572689529018e-05,0.0
2290.3478569527892,7118.490780183579,8945.311570639004,0.0391960285383984,65.16858430187845,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0007008474762833596,0.0
2779.914354438201,1926.0971468924718,263.5583449791375,0.10577000243747436,10.015015262491104,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,3.2638693610624904e-05,0.0
1500.00689343732,1894.6092161162178,5635.931718048048,0.04128333412772245,95.25267546734187,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,6.250883627310345e-11,0.0
2728.725689280593,9942.543099271696,6680.919239245462,0.19252036546554765,15.1047607631276,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,9.80856649820005e-12,0.0
2636.8675441187233,2648.2795987704612,348.3409387202355,0.001722352243184233,58.94602918796309,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0002455222914492597,0.0
1691.9612384121501,2389.9854063912862,120.5490877139855,0.008722169880825803,10.260517024755558,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,3.9888494143877104e-05,0.0
2983.2777384681817,7895.327072172766,170.66280287835798,0.017418410527982903,44.88884202298976,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,5.1198296243538175e-15,0.0
2382.4059882804913,1330.2715755503214,9971.87735924373,0.008449289267520699,32.94238460511184,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00015799510929055251,0.0
2397.314128843595,1879.5835109961854,5071.943137000868,0.06866992570815486,40.28860688028007,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0006335749307323631,0.0
1544.3154530673507,3177.549023373839,9959.394365630656,0.19604195287475165,92.40032902116212,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,9.235537546499874e-28,0.0
1623.6842501278309,1741.980363235929,101.86216224270356,0.18396717648377386,10.252472418817192,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.470721193466584e-27,0.0
2995.64527900082,3920.697778055229,1469.5709529329743,0.04403969182885206,56.228086301099594,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,3.898457305028947e-06,0.0
1816.8362301065479,9611.55371104356,251.7109911478983,0.04320278797933513,21.642218658905676,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00028671113066792113,0.0
2181.50678409292,6014.3392752785285,673.9996825402613,0.00018900149978656744,97.48450509958302,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00036387066606312693,0.0
2957.2414237012463,2691.69975856192,4704.0175911346805,0.05700118594386491,39.021741095012175,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00038623247862456595,0.0
1570.4018913608413,5755.843730714275,9243.45885688205,0.16898897206391525,47.02008267870538,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,9.990606118084155e-35,0.0
2913.67754388528,4233.128884795072,2289.3386961952638,0.12102671080841487,27.431373297026,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0014413119320700342,0.0
2979.0399206596503,9010.173478177905,9068.724254812201,0.006051355687478749,10.000310985507213,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.18416307414769e-06,0.0
2734.8059919025127,5439.389961824233,7076.486309459179,0.046157863721588865,73.85023721583217,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0003197694719680002,0.0
1707.522860927827,1517.4160359095913,9281.163109286006,0.04103072141233849,99.58701406118534,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00020016597247602186,0.0
2158.414334494283,5987.863881654556,4010.831329460706,0.11486749567875866,67.49069527026278,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.000563785180451269,0.0
2167.8987226177414,2812.1733759154513,1391.4439710451206,0.05805321035868466,71.96093698146586,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,5.179448496539975e-17,0.0
1510.1567951956536,1009.7518243412196,9422.013865864923,0.052373471125527565,65.91440623106823,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.9606924199985443e-21,0.0
1520.7933846899539,4092.858588077768,2328.115877018423,0.02261308311531246,55.47852696870105,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0009440377415718112,0.0
1500.3444388369662,1860.1085305347915,212.88282589007758,0.10230851380323486,44.758162957184474,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,4.032963664319416e-05,0.0
1533.8222121336642,1439.623450944031,9338.168318393347,0.056587125916936876,18.36654436602521,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0017538105260102113,0.0
2032.2563280322652,2259.328005069262,3117.3616182723135,0.1999597455909397,96.53606452319113,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,5.023968710753275e-28,0.0
1516.6599018403283,5496.215427020957,1690.7605934964758,0.07287845816443678,84.08344503114552,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0008957422996146505,0.0
2375.348516738625,2440.805138086237,885.3446708940883,3.4202579071718198e-06,66.48214893165863,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0001390452596987153,0.0
1500.3600867822588,8710.990321487297,749.4470694041556,0.05085091046126619,44.93781151874841,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,4.086868305223693e-05,0.0
1917.3090898002888,7691.193236874509,227.87459487875822,0.1731435988165242,23.176071248437495,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.372118798777276e-62,0.0
1542.3744365938767,1021.486835623562,193.86753695618972,0.01787694957751368,75.39392398763425,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,8.265307858873446e-05,0.0
2665.9126126001606,9452.421612226806,9305.561851266992,0.07258549436492703,79.81696178914618,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0009954599909755663,0.0
1505.603030539672,7466.702212018516,2122.579061658261,0.10838621755116841,97.58505862319078,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,7.126016470679812e-08,0.0
1509.7178139584867,1464.9625309203711,291.749852597477,0.016649494724130853,81.28159235995739,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00023942001585002714,0.0
2629.4346210896406,2023.100466389351,104.21449528481389,0.03069647689835464,11.261631994363356,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.763434184962247e-11,0.0
